Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL
Replica,Replica,,11,Expert,Kaizo,,,,
Rescue of Rochie,Rescue of Rochie,,80,Casual,Standard,,,,
ReSMW,ReSMW,,5,Newcomer,Standard,,,,
Retro Mario World - Super Mario Bros.,Retro Mario World - Super Mario Bros.,,32,Newcomer,Standard,,,,
Retro Marioland,Retro Marioland,,10,Advanced,Kaizo,,,,
Retrograde Nine,Retrograde Nine,,0,Expert,Kaizo,,,,
Return Mario World Luner Editon,Return Mario World Luner Editon,,5,Newcomer,Standard,,,,
Return Of Shadower,Return Of Shadower,,28,Intermediate,Standard,,,,
Return Trip,Return Trip,,33,Intermediate,Standard,,,,
Revenge of Bowser - Legend of the Seven Eggs,Revenge of Bowser - Legend of the Seven Eggs,,9,Newcomer,Standard,,,,
REVENGE OF SWITCHES PRESSED,REVENGE OF SWITCHES PRESSED,,4,Advanced,Standard,,,,
Reverie,Reverie,,2,Casual,"Standard, Puzzle",,,,
Riff World 2,Riff World 2,,32,Master,Kaizo,,,,
Rikaizo Shells,Rikaizo Shells,,12,Master,Kaizo,,,,
Rise of Horst: Baby Park,Rise of Horst: Baby Park,,2,Intermediate,"Kaizo, Tool-Assisted",,,,
Rise to the Challenge,Rise to the Challenge,,53,Intermediate,Standard,,,,
River Song,River Song,,18,Advanced,Kaizo,,,,
Road to New Haven,Road to New Haven,,5,Intermediate,Kaizo,,,,
Robfather World,Robfather World,,14,Intermediate,Kaizo,,,,
Rob-omb's Quest: Easy,Rob-omb's Quest: Easy,,84,Casual,Standard,,,,
Rob-omb's Quest: Hard,Rob-omb's Quest: Hard,,84,Casual,Standard,,,,
Roger Gang Vol 1,Roger Gang Vol 1,,15,Expert,Kaizo,,,,
ROKE HELL,ROKE HELL,,14,Expert,Kaizo,,,,
Roke Shell,Roke Shell,,14,Advanced,Kaizo,,,,
rokeshell 2,rokeshell 2,,13,Expert,Kaizo,,,,
Romhack Races - Season 1 Compilation,Romhack Races - Season 1 Compilation,,15,Expert,Kaizo,,,,
Romhack Races - Season 2 Compilation,Romhack Races - Season 2 Compilation,,13,Expert,Kaizo,,,,
Romhack Races - Season 3 Compilation,Romhack Races - Season 3 Compilation,,13,Expert,Kaizo,,,,
Romhack Races - Season 4 Compilation,Romhack Races - Season 4 Compilation,,12,Expert,Kaizo,,,,
Romp of Otters,Romp of Otters,,23,Expert,Kaizo,,,,
Rooms for Kids,Rooms for Kids,,1,Intermediate,Kaizo,,,,
Rooms of Despair,Rooms of Despair,,1,Expert,Kaizo,,,,
Rosalina's Gold Saga,Rosalina's Gold Saga,,44,Intermediate,Standard,,,,
Rose Tinted Glasses,Rose Tinted Glasses,,5,Intermediate,Kaizo,,,,
Roy's Armada,Roy's Armada,,18,Casual,Standard,,,,
Rozen Maiden: The Lapislazuri Travel,Rozen Maiden: The Lapislazuri Travel,,5,Casual,Standard,,,,
RTA Abuse,RTA Abuse,,1,Master,Kaizo,,,,
RTA Abuse 2,RTA Abuse 2,,0,Master,Kaizo,,,,
RTA Abuse 3,RTA Abuse 3,,1,Master,Kaizo,,,,
Run Away from Mario's Past,Run Away from Mario's Past,,10,Intermediate,Standard,,,,
Run the Gauntlet,Run the Gauntlet,,5,Grandmaster,Standard,,,,
Run!,Run!,,11,Expert,Kaizo,,,,
Run! 2 - Don't Stop Running,Run! 2 - Don't Stop Running,,14,Expert,Kaizo,,,,
S.O.B mario world,S.O.B mario world,,14,Master,Kaizo,,,,
SA-1: Special Adventure - 1,SA-1: Special Adventure - 1,,118,Intermediate,Standard,,,,
Safespace Challenge,Safespace Challenge,,1,Grandmaster,Kaizo,,,,
Sakaya Sanctuary,Sakaya Sanctuary,,20,Expert,Kaizo,,,,
Salty Sagan World,Salty Sagan World,,22,Master,Kaizo,,,,
"Same Sprites, Different Levels","Same Sprites, Different Levels",,92,Intermediate,Standard,,,,
Samsara Mario World,Samsara Mario World,,22,Expert,Kaizo,,,,
Saphros Blind Races #1,Saphros Blind Races #1,,4,Advanced,Kaizo,,,,
Saphros Blindrace #2,Saphros Blindrace #2,,4,Expert,Kaizo,,,,
Sauna Mario World,Sauna Mario World,,15,Advanced,Kaizo,,,,
Sauna Mario World 2,Sauna Mario World 2,,21,Expert,Kaizo,,,,
Save Luigi,Save Luigi,,30,Expert,Kaizo,,,,
Saving Libertys Kaizo Adventure,Saving Libertys Kaizo Adventure,,13,Advanced,Kaizo,,,,
Sayonara Mario World,Sayonara Mario World,,13,Expert,Kaizo,,,,
Sayonara Mario World 2,Sayonara Mario World 2,,16,Master,Kaizo,,,,
Scary Bosses and Nice Sprites,Scary Bosses and Nice Sprites,,10,Advanced,"Standard, Kaizo",,,,
Scyther Our Savior,Scyther Our Savior,,32,Intermediate,Standard,,,,
Season of Ice,Season of Ice,,7,Newcomer,Standard,,,,
Second Nature,Second Nature,,19,Expert,Kaizo,,,,
Secret of Mario,Secret of Mario,,0,Advanced,Kaizo,,,,
Seek the Discrepancy,Seek the Discrepancy,,15,Casual,"Standard, Puzzle",,,,
Send Your Regrets to the Czar,Send Your Regrets to the Czar,,24,Master,Kaizo,,,,
Sendy's World,Sendy's World,,27,Intermediate,Standard,,,,
Separate Ways Remastered,Separate Ways Remastered,,14,Advanced,Kaizo,,,,
Seven Cursed Eggs,Seven Cursed Eggs,,10,Casual,Standard,,,,
Seven Vanilla Levels,Seven Vanilla Levels,,9,Intermediate,Standard,,,,
Shadow of the Mountain,Shadow of the Mountain,,17,Advanced,Kaizo,,,,
Shallow and Pedantic,Shallow and Pedantic,,5,Expert,Kaizo,,,,
Shallow Pits,Shallow Pits,,1,Master,Kaizo,,,,
Shallow Pits 2,Shallow Pits 2,,1,Expert,Kaizo,,,,
Shattered Land,Shattered Land,,5,Expert,Kaizo,,,,
SHATTERED PLAINS,SHATTERED PLAINS,,0,Master,Standard,,,,
Sheffy 99,Sheffy 99,,8,Master,Kaizo,,,,
Shell is Cool,Shell is Cool,,8,Expert,Kaizo,,,,
Shell Motel,Shell Motel,,1,Advanced,Kaizo,,,,
Shell Or Die,Shell Or Die,,15,Master,Kaizo,,,,
Shell Out,Shell Out,,1,Expert,Kaizo,,,,
Shell Reaper,Shell Reaper,,6,Master,Kaizo,,,,
Shella Sick (A Hella Sick Shell Hack),Shella Sick (A Hella Sick Shell Hack),,14,Expert,Kaizo,,,,
Shellab,Shellab,,10,Expert,Kaizo,,,,
Shellax,Shellax,,7,Expert,Kaizo,,,,
Shellenge,Shellenge,,11,Advanced,Kaizo,,,,
Shello,Shello,,12,Expert,Kaizo,,,,
Shelloween,Shelloween,,10,Advanced,Kaizo,,,,
Shells 3 & Knuckles,Shells 3 & Knuckles,,8,Expert,Kaizo,,,,
Shell'S 4 KidUlt'S,Shell'S 4 KidUlt'S,,4,Expert,Kaizo,,,,
Shells Delivery Deluxe,Shells Delivery Deluxe,,8,Advanced,Kaizo,,,,
Shells Kitchen: Leos Journey,Shells Kitchen: Leos Journey,,10,Intermediate,Kaizo,,,,
Shells Kitchen: Nicos Journey,Shells Kitchen: Nicos Journey,,10,Advanced,Kaizo,,,,
Shell's Redeemer,Shell's Redeemer,,12,Expert,Kaizo,,,,
Shell's Retriever,Shell's Retriever,,7,Expert,Kaizo,,,,
Shellshock,Shellshock,,9,Grandmaster,Kaizo,,,,
Shelltopia,Shelltopia,,9,Advanced,Kaizo,,,,
Shellventure,Shellventure,,9,Expert,Kaizo,,,,
Shellz,Shellz,,9,Expert,Kaizo,,,,
SHINE,SHINE,,12,Expert,Kaizo,,,,
Shipwrecked,Shipwrecked,,24,Casual,Standard,,,,
Shooey,Shooey,,10,Expert,Kaizo,,,,
Short and Hard: A midair Shellhack,Short and Hard: A midair Shellhack,,19,Master,Kaizo,,,,
Short and Sweet,Short and Sweet,,11,Advanced,Kaizo,,,,
Short but Savage,Short but Savage,,5,Master,Kaizo,,,,
short mario adventure,short mario adventure,,7,Newcomer,Standard,,,,
Short 'n Sweet,Short 'n Sweet,,7,Intermediate,Kaizo,,,,
Showtime,Showtime,,30,Advanced,Standard,,,,
Shy Guy's Adventure,Shy Guy's Adventure,,5,Casual,Standard,,,,
ShyGuy Kaizo Dream,ShyGuy Kaizo Dream,,8,Expert,Kaizo,,,,
ShyGuy Kaizo Dream 2 - Shy Guy's Awakening,ShyGuy Kaizo Dream 2 - Shy Guy's Awakening,,20,Expert,Kaizo,,,,
Shy-Guy Quest,Shy-Guy Quest,,6,Casual,Standard,,,,
Sicari,Sicari,,35,Casual,Standard,,,,
Sicari 2 - The Brink of Time,Sicari 2 - The Brink of Time,,46,Intermediate,Standard,,,,
Sicari Remastered,Sicari Remastered,,68,Intermediate,Standard,,,,
Sif World,Sif World,,17,Expert,Kaizo,,,,
Signals,Signals,,6,Expert,Kaizo,,,,
Silencio,Silencio,,20,Expert,Kaizo,,,,
Silver level pack,Silver level pack,,7,Casual,Standard,,,,
Simpatico,Simpatico,,26,Master,Kaizo,,,,
Simple Symphony,Simple Symphony,,11,Master,Kaizo,,,,
Simply Delicious,Simply Delicious,,11,Advanced,Standard,,,,
Simply Kaizo,Simply Kaizo,,11,Intermediate,Kaizo,,,,
Simply Mario Shells 'n Bells,Simply Mario Shells 'n Bells,,1,Expert,Kaizo,,,,
Single Level Collaboration,Single Level Collaboration,,0,Intermediate,Standard,,,,
Sio's Dino Mayhem,Sio's Dino Mayhem,,1,Expert,Kaizo,,,,
SIW Cruel or Cruel Edition,SIW Cruel or Cruel Edition,,9,Intermediate,"Kaizo, Tool-Assisted",,,,
Six Pack: VLDC Compilation,Six Pack: VLDC Compilation,,622,Advanced,Standard,,,,
Sixth Grade Kaizo,Sixth Grade Kaizo,,9,Advanced,Kaizo,,,,
Sleepy World,Sleepy World,,15,Advanced,Kaizo,,,,
Slow and Slower,Slow and Slower,,6,Expert,Kaizo,,,,
slurdgery,slurdgery,,9,Advanced,Standard,,,,
Smithereens,Smithereens,,13,Advanced,Kaizo,,,,
Smoked Fish and Cabbage,Smoked Fish and Cabbage,,7,Intermediate,"Standard, Kaizo",,,,
Smoked Fish and Cabbage 2,Smoked Fish and Cabbage 2,,28,Intermediate,Kaizo,,,,
Smoked Fish and Cabbage 3,Smoked Fish and Cabbage 3,,28,Advanced,Kaizo,,,,
smol,smol,,7,Expert,Kaizo,,,,
SMW 2012: Master Hand's Doomsday,SMW 2012: Master Hand's Doomsday,,42,Casual,Standard,,,,
SMW Christmas special,SMW Christmas special,,4,Newcomer,Standard,,,,
SMW Coin Chaos,SMW Coin Chaos,,15,Casual,Standard,,,,
SMW For Your Kids Only,SMW For Your Kids Only,,20,Newcomer,Standard,,,,
SMW Friends and Rivalry,SMW Friends and Rivalry,,118,Intermediate,Standard,,,,
SMW La Nouvelle Vague,SMW La Nouvelle Vague,,12,Newcomer,Standard,,,,
SMW L'autre bout de Yoshi island,SMW L'autre bout de Yoshi island,,14,Casual,Standard,,,,
SMW Legends. The Stars Road,SMW Legends. The Stars Road,,21,Casual,Standard,,,,
SMW O Sumiço de Íris,SMW O Sumiço de Íris,,64,Intermediate,Standard,,,,
SMW Piranha Island,SMW Piranha Island,,20,Advanced,Standard,,,,
SMW Quest for Gaming,SMW Quest for Gaming,,98,Intermediate,Standard,,,,
SMW Remade from Memory,SMW Remade from Memory,,96,Casual,Standard,,,,
SMW Returns,SMW Returns,,55,Intermediate,Standard,,,,
SMW Returns 2,SMW Returns 2,,73,Casual,Standard,,,,
SMW Returns EX,SMW Returns EX,,48,Casual,Standard,,,,
SMW Skill Challenge,SMW Skill Challenge,,12,Expert,"Kaizo, Tool-Assisted",,,,
SMW Skill Challenge 2,SMW Skill Challenge 2,,3,Expert,"Kaizo, Tool-Assisted",,,,
SMW Stardust Dragon 2011,SMW Stardust Dragon 2011,,16,Intermediate,Standard,,,,
SMW The Crown Tale,SMW The Crown Tale,,112,Intermediate,Standard,,,,
SMW The Lost Levels,SMW The Lost Levels,,22,Casual,Standard,,,,
SMW The Princess Rescue,SMW The Princess Rescue,,116,Intermediate,Standard,,,,
SMW The Princess Rescue 2 - Luigi's Journey!,SMW The Princess Rescue 2 - Luigi's Journey!,,116,Intermediate,Standard,,,,
SMW The Princess Rescue 3 - The Turnabout,SMW The Princess Rescue 3 - The Turnabout,,120,Intermediate,Standard,,,,
SMW The Untold Story,SMW The Untold Story,,11,Intermediate,Standard,,,,
SMW Translations,SMW Translations,,96,Casual,Standard,,,,
Smw Uma Aventura Chaotica (Chaotic Adventure),Smw Uma Aventura Chaotica (Chaotic Adventure),,92,Casual,Standard,,,,
SMW with Levels from NSMB,SMW with Levels from NSMB,,96,Casual,Standard,,,,
SMW with Levels from SMB 3,SMW with Levels from SMB 3,,76,Newcomer,Standard,,,,
SMW with Levels from Super Boy 3,SMW with Levels from Super Boy 3,,19,Casual,Standard,,,,
SMW: Gaiden,SMW: Gaiden,,124,Expert,Standard,,,,
SMW: Luigi's Mystic Saga,SMW: Luigi's Mystic Saga,,31,Intermediate,Standard,,,,
SMW: Remix,SMW: Remix,,17,Newcomer,Standard,,,,
SMW: The Creator,SMW: The Creator,,40,Newcomer,Standard,,,,
SMW: Yoshi's Super Adventure,SMW: Yoshi's Super Adventure,,44,Casual,Standard,,,,
Smw2 the unknown threats F.I.X.E.D,Smw2 the unknown threats F.I.X.E.D,,5,Newcomer,Standard,,,,
SMW2+3: The Essence Star,SMW2+3: The Essence Star,,45,Casual,Standard,,,,
SMWHacking.de Collab,SMWHacking.de Collab,,12,Casual,Standard,,,,
SMWHacking.de Collab ½,SMWHacking.de Collab ½,,10,Intermediate,Standard,,,,
SMWLV,SMWLV,,20,Intermediate,Standard,,,,
SMW-R,SMW-R,,5,Intermediate,Standard,,,,
Sniggerbobble's Nightmare: Randor's Inside Story,Sniggerbobble's Nightmare: Randor's Inside Story,,6,Casual,Standard,,,,
Snoman's Land,Snoman's Land,,12,Advanced,Kaizo,,,,
Solar Eclipse World,Solar Eclipse World,,1,Intermediate,Standard,,,,
Some Assembly Required,Some Assembly Required,,5,Advanced,Kaizo,,,,
Something,Something,,47,Intermediate,Standard,,,,
Something Else,Something Else,,69,Advanced,Standard,,,,
Song's to Die to,Song's to Die to,,9,Expert,Kaizo,,,,
Sonic Epic World,Sonic Epic World,,8,Expert,Kaizo,,,,
Sonic Kaizo World,Sonic Kaizo World,,21,Expert,Kaizo,,,,
Sonic the Hedgehog 2 Kaizo Version,Sonic the Hedgehog 2 Kaizo Version,,22,Expert,Kaizo,,,,
Sonic the Hedgehog Kaizo Version,Sonic the Hedgehog Kaizo Version,,19,Expert,Kaizo,,,,
Sonic's Adventure in Mushroom Kingdom,Sonic's Adventure in Mushroom Kingdom,,13,Intermediate,Kaizo,,,,
Sophies Crown,Sophies Crown,,15,Expert,Kaizo,,,,
Sorrow & Misery,Sorrow & Misery,,19,Grandmaster,Kaizo,,,,
Sortes Biblicae,Sortes Biblicae,,9,Master,Kaizo,,,,
Soup or Solstng World,Soup or Solstng World,,14,Advanced,Kaizo,,,,
South Point Hotel,South Point Hotel,,1,Expert,"Kaizo, Puzzle",,,,
SpaceDeluxe,SpaceDeluxe,,6,Advanced,Kaizo,,,,
Spatial Whirl,Spatial Whirl,,60,Intermediate,Standard,,,,
Special Moves,Special Moves,,5,Grandmaster,Kaizo,,,,
Special World Escape,Special World Escape,,5,Advanced,Kaizo,,,,
Special World Overtakes,Special World Overtakes,,8,Casual,Standard,,,,
Special World?,Special World?,,5,Intermediate,"Kaizo, Tool-Assisted",,,,
Speed Shell,Speed Shell,,1,Expert,Kaizo,,,,
Spesh Planet,Spesh Planet,,8,Intermediate,Standard,,,,
Spesh Planet 2,Spesh Planet 2,,24,Intermediate,Standard,,,,
Spiral Quiral,Spiral Quiral,,8,Casual,Standard,,,,
Spiral Quiral Downgrade,Spiral Quiral Downgrade,,12,Intermediate,Standard,,,,
Spiteful Mario,Spiteful Mario,,69,Expert,"Standard, Kaizo",,,,
Sponge World,Sponge World,,4,Intermediate,Standard,,,,
SPOT,SPOT,,12,Advanced,Standard,,,,
Sprites Are 1derful,Sprites Are 1derful,,96,Advanced,"Standard, Kaizo",,,,
Square,Square,,9,Expert,Kaizo,,,,
SRE X - Kaizo Race,SRE X - Kaizo Race,,6,Expert,Kaizo,,,,
Staccato,Staccato,,14,Master,Kaizo,,,,
Stacks cafe,Stacks cafe,,1,Advanced,Kaizo,,,,
Stackup (Demo #0),Stackup (Demo #0),,8,Intermediate,Standard,,,,
Stand Tall and Shake the Heavens,Stand Tall and Shake the Heavens,,10,Master,Kaizo,,,,
Standard SMW ROM Hack,Standard SMW ROM Hack,,4,Casual,Standard,,,,
Stardust,Stardust,,4,Advanced,Kaizo,,,,
Starting with Kaizo,Starting with Kaizo,,5,Intermediate,Kaizo,,,,
Starting with Kaizo 2,Starting with Kaizo 2,,10,Intermediate,Kaizo,,,,
Staycation,Staycation,,22,Expert,Kaizo,,,,
Steamboat Mario,Steamboat Mario,,7,Newcomer,Standard,,,,
Steid's Hack,Steid's Hack,,8,Casual,Standard,,,,
Steven's Strangest Day,Steven's Strangest Day,,23,Casual,Standard,,,,
stick mice in my head and then beat my head in with a hammer and let them back out,stick mice in my head and then beat my head in with a hammer and let them back out,,19,Advanced,Standard,,,,
Stick This Up Your Pipe!,Stick This Up Your Pipe!,,0,Expert,Kaizo,,,,
Storks and Apes and Crocodiles,Storks and Apes and Crocodiles,,17,Master,Kaizo,,,,
Story of Peiton,Story of Peiton,,37,Intermediate,Standard,,,,
Straight Shellin',Straight Shellin',,6,Expert,Kaizo,,,,
Stranded,Stranded,,16,Casual,Standard,,,,
Strange Mario World,Strange Mario World,,6,Casual,Standard,,,,
Stratfinder,Stratfinder,,3,Master,Kaizo,,,,
Streak of Tigers,Streak of Tigers,,11,Expert,Kaizo,,,,
Streak of Tigers 2,Streak of Tigers 2,,11,Expert,Kaizo,,,,
Studies of a broken engine,Studies of a broken engine,,1,Grandmaster,Kaizo,,,,
Subpar Mario World,Subpar Mario World,,27,Advanced,Kaizo,,,,
Summer,Summer,,14,Master,Kaizo,,,,
Summer Season,Summer Season,,5,Casual,Standard,,,,
Sunny Side World,Sunny Side World,,7,Newcomer,Standard,,,,
"Super ""Mario"" World","Super ""Mario"" World",,35,Newcomer,Standard,,,,
"Super ""Mario"" World 2","Super ""Mario"" World 2",,87,Intermediate,Standard,,,,
"Super ""Sonic Saves the World"" World","Super ""Sonic Saves the World"" World",,69,Master,Kaizo,,,,
Super “Dark” World,Super “Dark” World,,6,Casual,Standard,,,,
Super Adam World,Super Adam World,,9,Intermediate,Standard,,,,
Super Alabama Beach Mouse,Super Alabama Beach Mouse,,7,Grandmaster,Kaizo,,,,
Super Alex Demo,Super Alex Demo,,7,Casual,Standard,,,,
Super Alicorn Sisters: Return of the Tantabus (A My Little Pony hack),Super Alicorn Sisters: Return of the Tantabus (A My Little Pony hack),,6,Newcomer,Standard,,,,
Super Amazing World,Super Amazing World,,8,Casual,Standard,,,,
Super Amethyst Rocks,Super Amethyst Rocks,,36,Expert,Kaizo,,,,
Super Ario World,Super Ario World,,6,Advanced,"Standard, Kaizo",,,,
Super BanzaiChuck World,Super BanzaiChuck World,,20,Master,Kaizo,,,,
Super Beast World,Super Beast World,,10,Intermediate,Kaizo,,,,
Super Beco World,Super Beco World,,15,Advanced,Kaizo,,,,
Super Beco World 2,Super Beco World 2,,14,Advanced,Kaizo,,,,
Super Beco World 3,Super Beco World 3,,24,Advanced,Kaizo,,,,
Super Big Super Shy World,Super Big Super Shy World,,30,Intermediate,"Standard, Kaizo",,,,
Super Blooper,Super Blooper,,11,Casual,Standard,,,,
Super Boonie World,Super Boonie World,,18,Expert,Kaizo,,,,
Super Breh World,Super Breh World,,8,Advanced,Kaizo,,,,
Super Broke World,Super Broke World,,16,Master,Kaizo,,,,
Super Bulti World,Super Bulti World,,15,Advanced,Kaizo,,,,
Super Butt World 2,Super Butt World 2,,30,Master,Kaizo,,,,
Super Challenge World,Super Challenge World,,113,Advanced,Standard,,,,
Super Chambo World,Super Chambo World,,22,Expert,Kaizo,,,,
Super Cheer World,Super Cheer World,,25,Expert,Kaizo,,,,
Super Chill World,Super Chill World,,13,Advanced,Kaizo,,,,
Super Chocolate: The Insane Islands,Super Chocolate: The Insane Islands,,9,Casual,Standard,,,,
Super Cindy World,Super Cindy World,,14,Intermediate,Kaizo,,,,
Super Cindy World 2,Super Cindy World 2,,24,Intermediate,Kaizo,,,,
Super Cindy World 3,Super Cindy World 3,,29,Intermediate,Kaizo,,,,
Super Compact World,Super Compact World,,19,Advanced,Standard,,,,
Super Conan Land,Super Conan Land,,1,Intermediate,"Kaizo, Tool-Assisted",,,,
Super Conan World,Super Conan World,,3,Intermediate,"Kaizo, Tool-Assisted",,,,
Super Cool World,Super Cool World,,24,Expert,Kaizo,,,,
Super Corn World,Super Corn World,,8,Advanced,Kaizo,,,,
Super Corn World II,Super Corn World II,,11,Advanced,Kaizo,,,,
Super Corn World III,Super Corn World III,,15,Expert,Kaizo,,,,
Super Corruptendo World: The Mini HAX,Super Corruptendo World: The Mini HAX,,0,Newcomer,Standard,,,,
Super cRazy world,Super cRazy world,,8,Newcomer,Standard,,,,
Super Creme World,Super Creme World,,14,Advanced,Kaizo,,,,
Super Curious World,Super Curious World,,16,Expert,Kaizo,,,,
Super Daisy World,Super Daisy World,,21,Casual,Standard,,,,
Super Dank World,Super Dank World,,19,Advanced,Kaizo,,,,
Super Dazran World,Super Dazran World,,17,Casual,Standard,,,,
Super DB World,Super DB World,,17,Expert,Kaizo,,,,
Super Deboche World,Super Deboche World,,28,Intermediate,Standard,,,,
Super Demo World,Super Demo World,,6,Intermediate,Standard,,,,
Super Demo World 3,Super Demo World 3,,9,Casual,Standard,,,,
Super Demo World: The Legend Continues,Super Demo World: The Legend Continues,,120,Advanced,Standard,,,,
Super Denis World,Super Denis World,,17,Expert,Kaizo,,,,
Super Destructive World,Super Destructive World,,21,Intermediate,Kaizo,,,,
Super DGR World,Super DGR World,,32,Advanced,Kaizo,,,,
Super Dram World,Super Dram World,,19,Master,Kaizo,,,,
Super Dram World 2,Super Dram World 2,,21,Master,Kaizo,,,,
Super Dram World 3,Super Dram World 3,,28,Grandmaster,Kaizo,,,,
Super Dream World,Super Dream World,,12,Advanced,Kaizo,,,,
Super Duper Mario World W1 DEMO,Super Duper Mario World W1 DEMO,,10,Intermediate,Standard,,,,
Super Duper World,Super Duper World,,4,Advanced,Kaizo,,,,
Super Empty Land,Super Empty Land,,5,Intermediate,Kaizo,,,,
Super Enan World,Super Enan World,,35,Intermediate,Standard,,,,
Super Endoplasm World,Super Endoplasm World,,24,Casual,Standard,,,,
Super Enemy World,Super Enemy World,,20,Casual,Standard,,,,
Super Fail World,Super Fail World,,13,Intermediate,Standard,,,,
Super Fart World,Super Fart World,,15,Master,Kaizo,,,,
Super Fast World,Super Fast World,,3,Intermediate,Kaizo,,,,
Super Fedora World,Super Fedora World,,22,Casual,Standard,,,,
Super Fish World,Super Fish World,,1,Casual,Standard,,,,
Super Flash World,Super Flash World,,20,Expert,Kaizo,,,,
Super Flash World 2,Super Flash World 2,,23,Expert,Kaizo,,,,
Super Focused World,Super Focused World,,22,Expert,Kaizo,,,,
Super Foo World,Super Foo World,,27,Expert,Kaizo,,,,
Super Foo World 0,Super Foo World 0,,7,Expert,Kaizo,,,,
Super Foo World -1,Super Foo World -1,,9,Advanced,Kaizo,,,,
Super Foo World 2,Super Foo World 2,,18,Advanced,Kaizo,,,,
Super Foo World 3,Super Foo World 3,,18,Expert,Kaizo,,,,
Super Foo World Lite,Super Foo World Lite,,13,Expert,Kaizo,,,,
Super Foss World,Super Foss World,,22,Expert,"Kaizo, Puzzle",,,,
Super Fruits 'n Veggies World,Super Fruits 'n Veggies World,,21,Advanced,Kaizo,,,,
Super Galega World,Super Galega World,,6,Intermediate,Kaizo,,,,
Super germdove World,Super germdove World,,9,Intermediate,Kaizo,,,,
Super Ghetto World,Super Ghetto World,,22,Casual,Standard,,,,
Super Glitchcat World,Super Glitchcat World,,15,Expert,Kaizo,,,,
SUPER Glumper WORLD,SUPER Glumper WORLD,,5,Casual,Standard,,,,
Super Godly Worl 69,Super Godly Worl 69,,2,Intermediate,Standard,,,,
Super Goober World,Super Goober World,,7,Expert,Kaizo,,,,
Super Gracie World,Super Gracie World,,14,Advanced,Kaizo,,,,
Super Hacked World,Super Hacked World,,6,Casual,Standard,,,,
Super Hark Bros,Super Hark Bros,,16,Advanced,Kaizo,,,,
Super Hark Bros 2,Super Hark Bros 2,,24,Expert,Kaizo,,,,
Super Herbihalt World,Super Herbihalt World,,8,Intermediate,Standard,,,,
Super Herbihalt World 2,Super Herbihalt World 2,,8,Casual,Standard,,,,
Super Herbihalt World 3,Super Herbihalt World 3,,8,Intermediate,Standard,,,,
Super Huh World,Super Huh World,,6,Master,Kaizo,,,,
Super Husky World,Super Husky World,,12,Advanced,Kaizo,,,,
Super Husky World 2,Super Husky World 2,,15,Advanced,Kaizo,,,,
Super I Will Make One Level a Day Until Doopu Publishes SHINE World,Super I Will Make One Level a Day Until Doopu Publishes SHINE World,,14,Expert,Kaizo,,,,
Super Impressive World,Super Impressive World,,6,Newcomer,Standard,,,,
Super Insecure World,Super Insecure World,,10,Advanced,Kaizo,,,,
Super interdimensional crossroad world,Super interdimensional crossroad world,,1,Advanced,"Standard, Kaizo",,,,
Super Irresponsible World,Super Irresponsible World,,9,Master,Kaizo,,,,
Super IsCamden World,Super IsCamden World,,12,Advanced,Kaizo,,,,
Super Isikoro Mario World,Super Isikoro Mario World,,116,Master,Standard,,,,
Super IzToat World,Super IzToat World,,11,Advanced,Kaizo,,,,
Super Jars World,Super Jars World,,20,Expert,"Standard, Kaizo, Puzzle",,,,
Super Joe Bros 3,Super Joe Bros 3,,23,Advanced,Kaizo,,,,
Super Joe Bros.,Super Joe Bros.,,12,Intermediate,Kaizo,,,,
Super Joe Bros. 2,Super Joe Bros. 2,,21,Advanced,Kaizo,,,,
Super Kaizo Nightmare,Super Kaizo Nightmare,,8,Expert,Kaizo,,,,
Super Kamek World,Super Kamek World,,31,Advanced,Standard,,,,
Super Kekcroc World 2 - A Croc Throughout Time,Super Kekcroc World 2 - A Croc Throughout Time,,13,Intermediate,Standard,,,,
Super Kekcroc World 3,Super Kekcroc World 3,,12,Intermediate,Standard,,,,
Super Kekcroc World: Kekcroc in Space,Super Kekcroc World: Kekcroc in Space,,16,Intermediate,Standard,,,,
Super Kentucky Bros,Super Kentucky Bros,,17,Expert,Kaizo,,,,
Super Kilik World,Super Kilik World,,8,Casual,Standard,,,,
Super Killer World,Super Killer World,,13,Advanced,Kaizo,,,,
Super King Jay World,Super King Jay World,,14,Expert,Kaizo,,,,
Super Kroeti Kaizo World,Super Kroeti Kaizo World,,14,Advanced,Kaizo,,,,
Super Kuso World,Super Kuso World,,14,Master,Kaizo,,,,
Super LAME World,Super LAME World,,76,Newcomer,Standard,,,,
Super Lani World (Remastered),Super Lani World (Remastered),,24,Expert,Kaizo,,,,
Super Lani World 2 (Remastered),Super Lani World 2 (Remastered),,21,Expert,Kaizo,,,,
Super Lani World 3,Super Lani World 3,,35,Expert,Kaizo,,,,
Super Linkdead World,Super Linkdead World,,10,Master,Kaizo,,,,
Super Linkdeadx Dream,Super Linkdeadx Dream,,0,Expert,Kaizo,,,,
Super Little Miss A.D.D. World,Super Little Miss A.D.D. World,,83,Newcomer,"Standard, Kaizo",,,,
Super Little Miss ADD World DEMO,Super Little Miss ADD World DEMO,,21,Newcomer,Standard,,,,
Super Logic World 1,Super Logic World 1,,7,Casual,Standard,,,,
Super LouisDoucet World,Super LouisDoucet World,,11,Expert,Kaizo,,,,
